name,proportion,dimention,item,type,total,order,size
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
SILKY OS,0,ml,86704,Fabric,0,69975,38
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
MAGICA,1.00E-08,ml,39411,Fabric,1.20E-07,69991,XL
